employee_id,worker_gln,tenant_id,home_department_id,position_id,primary_occupation_id,given_name,family_name,employment_status,contract_fte,hire_date,primary_language,additional_languages,canton,work_id_ref
EMP-CN-0037,7601190000370,CN,CN-D6,POS-CN-D6-PHYS-RADIOL,OCC-PHYS-RADIOL,Elena,Moser,active,0.9,2025-04-29,DE-C1,,HN,WID-6F2537CE
EMP-CN-0038,7601190000387,CN,CN-D6,POS-CN-D6-PHYS-RADIOL,OCC-PHYS-RADIOL,Loris,Studer,active,0.8,2022-10-02,DE-B2,,HN,WID-03DB7A2E
EMP-CN-0039,7601190000394,CN,CN-D7,POS-CN-D7-ICU-RN,OCC-ICU-RN,Diego,Studer,active,1.0,2020-08-27,DE-B2,EN-B2,HN,WID-CB5D2B59
EMP-CN-0040,7601190000400,CN,CN-D7,POS-CN-D7-ICU-RN,OCC-ICU-RN,Ines,Marti,active,1.0,2015-11-24,DE-C1,,HN,
EMP-CN-0041,7601190000417,CN,CN-D7,POS-CN-D7-ICU-RN,OCC-ICU-RN,Yara,Favre,active,0.9,2019-12-21,DE-C1,,HN,
EMP-CN-0042,7601190000424,CN,CN-D7,POS-CN-D7-ICU-RN,OCC-ICU-RN,Aaron,Odermatt,active,0.9,2025-08-07,DE-C1,FR-B1,HN,
EMP-CN-0043,7601190000431,CN,CN-D7,POS-CN-D7-ICU-RN,OCC-ICU-RN,Vera,Ricci,on_leave,0.9,2019-03-09,DE-C1,EN-B2,HN,
EMP-CN-0044,7601190000448,CN,CN-D7,POS-CN-D7-ANAES-RN,OCC-ANAES-RN,Nora,Blanc,active,1.0,2014-02-22,DE-C1,,HN,
EMP-CN-0045,7601190000455,CN,CN-D7,POS-CN-D7-ANAES-RN,OCC-ANAES-RN,Mara,Zürcher,active,0.9,2019-03-07,DE-C1,,HN,
EMP-CN-0046,7601190000462,CN,CN-D7,POS-CN-D7-ER-RN,OCC-ER-RN,Larissa,Suter,active,0.8,2023-05-14,DE-C1,,HN,
EMP-CN-0047,7601190000479,CN,CN-D7,POS-CN-D7-ER-RN,OCC-ER-RN,Reto,Favre,active,0.8,2026-03-18,DE-C1,,HN,WID-95AEB18B
EMP-CN-0048,7601190000486,CN,CN-D7,POS-CN-D7-PHYS-INTENS,OCC-PHYS-INTENS,Deniz,Bianchi,active,0.8,2015-08-10,DE-C1,,HN,
EMP-CN-0049,7601190000493,CN,CN-D7,POS-CN-D7-PHYS-INTENS,OCC-PHYS-INTENS,Céline,Truniger,active,0.8,2018-09-14,DE-C1,FR-B1,HN,
EMP-CN-0050,7601190000509,CN,CN-D7,POS-CN-D7-PHYS-ANAES,OCC-PHYS-ANAES,Elena,Roth,on_leave,0.8,2012-07-05,DE-C1,IT-B1,HN,
EMP-CN-0051,7601190000516,CN,CN-D7,POS-CN-D7-BEDMGR,OCC-BEDMGR,Beat,Fontana,active,0.6,2026-02-04,DE-C1,,HN,WID-3E3B1A40
EMP-CN-0052,7601190000523,CN,CN-D7,POS-CN-D7-CRISIS,OCC-CRISIS,Beat,Meier,active,0.8,2023-03-25,DE-C1,,HN,
EMP-CN-0053,7601190000530,CN,CN-D8,POS-CN-D8-DQ,OCC-DQ,Malin,Ricci,active,1.0,2013-12-06,DE-C1,,HN,
EMP-CN-0054,7601190000547,CN,CN-D8,POS-CN-D8-PHYS-INTMED,OCC-PHYS-INTMED,Bruno,Blanc,active,0.8,2020-11-08,DE-C1,IT-B1,HN,
EMP-CP-0001,7601290000010,CP,CP-D1,POS-CP-D1-RN,OCC-RN,Ines,Egli,active_parttime,0.6,2022-10-17,DE-C1,IT-B1,CA,
EMP-CP-0002,7601290000027,CP,CP-D1,POS-CP-D1-RN,OCC-RN,Jonas,Bianchi,active,1.0,2016-10-18,DE-B2,,CA,WID-F80590F0
EMP-CP-0003,7601290000034,CP,CP-D1,POS-CP-D1-RN,OCC-RN,Zoe,Wyss,active,0.8,2015-07-10,DE-C1,FR-B1,CA,
EMP-CP-0004,7601290000041,CP,CP-D1,POS-CP-D1-PHYS-CARD,OCC-PHYS-CARD,Kai,Ricci,active,0.8,2025-07-27,DE-B2,,CA,WID-B0D515AB
EMP-CP-0005,7601290000058,CP,CP-D1,POS-CP-D1-PHYS-CARD,OCC-PHYS-CARD,Alina,Sennhauser,active,0.8,2025-08-13,DE-C1,,CA,WID-27AD8D51
EMP-CP-0006,7601290000065,CP,CP-D1,POS-CP-D1-SCRUB,OCC-SCRUB,Jonas,Vogel,active,0.8,2018-11-17,DE-C1,,CA,WID-C552F3C5
EMP-CP-0007,7601290000072,CP,CP-D2,POS-CP-D2-RN,OCC-RN,Aline,Frei,active,0.6,2014-02-14,DE-B2,FR-B1,CA,
EMP-CP-0008,7601290000089,CP,CP-D2,POS-CP-D2-RN,OCC-RN,Sven,Widmer,active,1.0,2025-07-10,DE-C1,EN-B2,CA,WID-3FAC4317
EMP-CP-0009,7601290000096,CP,CP-D2,POS-CP-D2-PHYS-NEURO,OCC-PHYS-NEURO,Tabea,Bianchi,active,0.8,2020-06-21,DE-B2,,CA,
EMP-CP-0010,7601290000102,CP,CP-D3,POS-CP-D3-RN,OCC-RN,Aymo,Frei,active,0.9,2013-04-22,DE-C1,,CA,
EMP-CP-0011,7601290000119,CP,CP-D3,POS-CP-D3-RN,OCC-RN,Larissa,Truniger,active,1.0,2023-12-08,DE-B2,,CA,
EMP-CP-0012,7601290000126,CP,CP-D3,POS-CP-D3-RN,OCC-RN,Tabea,Widmer,active,0.9,2014-04-09,DE-C1,,CA,
EMP-CP-0013,7601290000133,CP,CP-D3,POS-CP-D3-PHYS-ONCO,OCC-PHYS-ONCO,Piero,Brunner,active,0.6,2015-11-28,DE-C1,,CA,WID-7FFAB493
EMP-CP-0014,7601290000140,CP,CP-D3,POS-CP-D3-PHYS-ONCO,OCC-PHYS-ONCO,Rahel,Perren,active,0.8,2016-06-13,DE-B2,,CA,
EMP-CP-0015,7601290000157,CP,CP-D3,POS-CP-D3-DISCHARGE,OCC-DISCHARGE,Beat,Gerber,active,0.8,2012-07-13,DE-C1,,CA,
EMP-CP-0016,7601290000164,CP,CP-D4,POS-CP-D4-MIDWIFE,OCC-MIDWIFE,Diego,Kunz,active,0.8,2020-01-09,DE-B2,,CA,WID-0F5F9707
EMP-CP-0017,7601290000171,CP,CP-D4,POS-CP-D4-MIDWIFE,OCC-MIDWIFE,Gian,Caduff,active,1.0,2020-10-30,DE-C1,,CA,WID-1B7E0502
EMP-CP-0018,7601290000188,CP,CP-D4,POS-CP-D4-RN,OCC-RN,Beat,Moser,active_parttime,0.6,2013-03-05,DE-C1,,CA,
EMP-CP-0019,7601290000195,CP,CP-D4,POS-CP-D4-PHYS-GYN,OCC-PHYS-GYN,Chiara,Schmid,active,1.0,2021-11-25,DE-C1,,CA,
EMP-CP-0020,7601290000201,CP,CP-D5,POS-CP-D5-RN,OCC-RN,Aymo,Blanc,active,0.8,2019-11-15,DE-C1,,CA,
EMP-CP-0021,7601290000218,CP,CP-D5,POS-CP-D5-RN,OCC-RN,Nora,Reber,active,0.8,2023-05-20,DE-C1,,CA,WID-7CE34563
EMP-CP-0022,7601290000225,CP,CP-D5,POS-CP-D5-PHYS-PAED,OCC-PHYS-PAED,Tabea,Suter,active,0.8,2015-06-26,DE-C1,EN-B2,CA,WID-E44CBD41
EMP-CP-0023,7601290000232,CP,CP-D5,POS-CP-D5-PHYS-PAED,OCC-PHYS-PAED,Mara,Favre,on_leave,0.8,2024-07-23,DE-B2,,CA,
EMP-CP-0024,7601290000249,CP,CP-D6,POS-CP-D6-ER-RN,OCC-ER-RN,Vera,Colombo,active,1.0,2012-05-07,DE-C1,,CA,WID-BBB24366
EMP-CP-0025,7601290000256,CP,CP-D6,POS-CP-D6-ER-RN,OCC-ER-RN,Aymo,Ricci,active,0.9,2013-06-19,DE-C1,,CA,
EMP-CP-0026,7601290000263,CP,CP-D6,POS-CP-D6-ER-RN,OCC-ER-RN,Chiara,Zürcher,active,1.0,2022-09-12,DE-C1,,CA,WID-60B57717
EMP-CP-0027,7601290000270,CP,CP-D6,POS-CP-D6-PARA,OCC-PARA,Ines,Suter,active,0.6,2019-11-17,DE-B2,,CA,WID-B972393A
EMP-CP-0028,7601290000287,CP,CP-D6,POS-CP-D6-PARA,OCC-PARA,Nadia,Bühler,active,0.6,2021-10-13,DE-B2,,CA,
EMP-CP-0029,7601290000294,CP,CP-D6,POS-CP-D6-PARA,OCC-PARA,Mara,Steiner,active,1.0,2019-04-28,DE-C1,,CA,
EMP-CP-0030,7601290000300,CP,CP-D6,POS-CP-D6-PHYS-EMERG,OCC-PHYS-EMERG,Kai,Furrer,active,0.8,2015-02-22,DE-C1,,CA,
EMP-CP-0031,7601290000317,CP,CP-D6,POS-CP-D6-PHYS-EMERG,OCC-PHYS-EMERG,Luca,Baumann,active,1.0,2013-04-26,DE-C1,IT-B1,CA,
EMP-CP-0032,7601290000324,CP,CP-D6,POS-CP-D6-BEDMGR,OCC-BEDMGR,Sven,Amacher,active,0.9,2022-02-24,DE-C1,,CA,WID-0A1BEBD3
EMP-CP-0033,7601290000331,CP,CP-D6,POS-CP-D6-CRISIS,OCC-CRISIS,Céline,Keller,active,1.0,2022-08-12,DE-B2,,CA,
EMP-CP-0034,7601290000348,CP,CP-D7,POS-CP-D7-RN,OCC-RN,Sophie,Vogel,active,0.9,2023-08-15,DE-C1,,CA,
EMP-CP-0035,7601290000355,CP,CP-D7,POS-CP-D7-RN,OCC-RN,Rahel,Gerber,active,0.8,2025-01-01,DE-B2,,CA,
EMP-CP-0036,7601290000362,CP,CP-D7,POS-CP-D7-SCRUB,OCC-SCRUB,Alina,Suter,active,0.8,2015-05-08,DE-B2,FR-B1,CA,
EMP-CP-0037,7601290000379,CP,CP-D7,POS-CP-D7-PHYS-SURG,OCC-PHYS-SURG,Aaron,Meier,active,0.8,2023-08-02,DE-C1,,CA,
EMP-CP-0038,7601290000386,CP,CP-D7,POS-CP-D7-ORCOORD,OCC-ORCOORD,Aline,Roth,active,0.8,2013-11-09,DE-B2,FR-B1,CA,
EMP-CP-0039,7601290000393,CP,CP-D8,POS-CP-D8-MTRA,OCC-MTRA,Nele,Furrer,active,0.9,2026-02-28,DE-B2,,CA,
EMP-CP-0040,7601290000409,CP,CP-D8,POS-CP-D8-MTRA,OCC-MTRA,Aline,Lehmann,active,0.9,2013-11-03,DE-B2,,CA,
EMP-CP-0041,7601290000416,CP,CP-D8,POS-CP-D8-PHYS-RADIOL,OCC-PHYS-RADIOL,Ines,Studer,active,1.0,2019-01-31,DE-B2,,CA,WID-B4E570BA
EMP-CP-0042,7601290000423,CP,CP-D8,POS-CP-D8-DQ,OCC-DQ,Alina,Furrer,active,0.8,2018-10-10,DE-B2,,CA,WID-8F1C3FA0
EMP-VT-0001,7601390000019,VT,VT-D1,POS-VT-D1-RN,OCC-RN,Selin,Aebischer,active,1.0,2024-07-17,DE-C1,,HN,WID-7D76AB58
EMP-VT-0002,7601390000026,VT,VT-D1,POS-VT-D1-RN,OCC-RN,Milena,Hofer,active,1.0,2014-04-02,DE-B2,,HN,WID-91135D7E
EMP-VT-0003,7601390000033,VT,VT-D1,POS-VT-D1-RN,OCC-RN,Elena,Sennhauser,active,1.0,2020-12-14,DE-C1,,HN,
EMP-VT-0004,7601390000040,VT,VT-D1,POS-VT-D1-PHYS-INTMED,OCC-PHYS-INTMED,Joel,Keller,active,0.8,2022-06-28,DE-C1,EN-B2,HN,
EMP-VT-0005,7601390000057,VT,VT-D1,POS-VT-D1-DISCHARGE,OCC-DISCHARGE,Beat,Blanc,active,0.8,2013-07-11,DE-B2,,HN,
EMP-VT-0006,7601390000064,VT,VT-D2,POS-VT-D2-MIDWIFE,OCC-MIDWIFE,Fabio,Schmid,active,0.8,2020-07-10,DE-B2,,HN,
EMP-VT-0007,7601390000071,VT,VT-D2,POS-VT-D2-MIDWIFE,OCC-MIDWIFE,Deniz,Odermatt,active,1.0,2024-07-24,DE-C1,,HN,
EMP-VT-0008,7601390000088,VT,VT-D2,POS-VT-D2-RN,OCC-RN,Noemi,Perren,active,1.0,2020-11-24,DE-C1,,HN,WID-8B2AB759
EMP-VT-0009,7601390000095,VT,VT-D2,POS-VT-D2-PHYS-GYN,OCC-PHYS-GYN,Tabea,Béguin,active,1.0,2025-02-13,DE-B2,,HN,WID-77E8B762
EMP-VT-0010,7601390000101,VT,VT-D3,POS-VT-D3-RN,OCC-RN,Ines,Truniger,active,1.0,2020-08-06,DE-C1,,HN,WID-290C4414
EMP-VT-0011,7601390000118,VT,VT-D3,POS-VT-D3-RN,OCC-RN,Nadia,Aebischer,active,1.0,2019-04-17,DE-C1,IT-B1,HN,WID-87F89F62
EMP-VT-0012,7601390000125,VT,VT-D3,POS-VT-D3-SCRUB,OCC-SCRUB,Selin,Huber,active,1.0,2023-04-04,DE-B2,,HN,
EMP-VT-0013,7601390000132,VT,VT-D3,POS-VT-D3-PHYS-SURG,OCC-PHYS-SURG,Ramon,Suter,active,0.6,2018-08-16,DE-B2,EN-B2,HN,
EMP-VT-0014,7601390000149,VT,VT-D3,POS-VT-D3-ORCOORD,OCC-ORCOORD,Timo,Favre,active,1.0,2020-04-15,DE-C1,,HN,
EMP-VT-0015,7601390000156,VT,VT-D4,POS-VT-D4-RN,OCC-RN,Ines,Perren,active,1.0,2012-04-28,DE-C1,,HN,WID-730AD7DE
EMP-VT-0016,7601390000163,VT,VT-D4,POS-VT-D4-PHYS-SURG,OCC-PHYS-SURG,Sven,Studer,active,1.0,2023-01-31,DE-C1,FR-B1;IT-B1,HN,
EMP-VT-0017,7601390000170,VT,VT-D5,POS-VT-D5-ER-RN,OCC-ER-RN,Manuel,Zürcher,active,0.6,2014-02-07,DE-C1,,HN,WID-D1C56A00
EMP-VT-0018,7601390000187,VT,VT-D5,POS-VT-D5-ER-RN,OCC-ER-RN,Aaron,Schneider,active,0.8,2017-01-24,DE-C1,,HN,
EMP-VT-0019,7601390000194,VT,VT-D5,POS-VT-D5-ER-RN,OCC-ER-RN,Beat,Brunner,active,1.0,2017-12-24,DE-C1,,HN,WID-8AA6B006
EMP-VT-0020,7601390000200,VT,VT-D5,POS-VT-D5-PHYS-EMERG,OCC-PHYS-EMERG,Céline,Bianchi,active,0.6,2012-10-29,DE-B2,IT-B1,HN,
EMP-VT-0021,7601390000217,VT,VT-D6,POS-VT-D6-ICU-RN,OCC-ICU-RN,Silas,Bühler,active,1.0,2020-12-29,DE-C1,,HN,WID-743E8531
EMP-VT-0022,7601390000224,VT,VT-D6,POS-VT-D6-ICU-RN,OCC-ICU-RN,Fabio,Zbinden,active,0.8,2020-08-06,DE-C1,,HN,
EMP-VT-0023,7601390000231,VT,VT-D6,POS-VT-D6-ICU-RN,OCC-ICU-RN,Nele,Roth,active,0.8,2018-12-16,DE-C1,FR-B1,HN,
EMP-VT-0024,7601390000248,VT,VT-D6,POS-VT-D6-ICU-RN,OCC-ICU-RN,Flurin,Rossi,active,0.8,2016-03-01,DE-C1,EN-B2,HN,
EMP-VT-0025,7601390000255,VT,VT-D6,POS-VT-D6-PHYS-INTENS,OCC-PHYS-INTENS,Enzo,Moser,active,0.8,2025-07-09,DE-C1,FR-B1,HN,
EMP-VT-0026,7601390000262,VT,VT-D6,POS-VT-D6-BEDMGR,OCC-BEDMGR,Sophie,Colombo,active,1.0,2024-09-29,DE-C1,FR-B1,HN,
EMP-VT-0027,7601390000279,VT,VT-D7,POS-VT-D7-RN,OCC-RN,Sina,Nussbaumer,active,1.0,2013-11-08,DE-C1,,HN,
EMP-VT-0028,7601390000286,VT,VT-D7,POS-VT-D7-RN,OCC-RN,Fiona,Gerber,active,0.8,2016-11-21,DE-C1,,HN,WID-8186722B
EMP-VT-0029,7601390000293,VT,VT-D7,POS-VT-D7-PHYS-NEPHRO,OCC-PHYS-NEPHRO,Mara,Baumann,active,1.0,2024-04-21,DE-C1,FR-B1;IT-B1,HN,WID-BBD0FE6C
EMP-VT-0030,7601390000309,VT,VT-D8,POS-VT-D8-MTRA,OCC-MTRA,Selin,Lehmann,active,1.0,2016-09-25,DE-C1,,HN,WID-E207DB20
EMP-VT-0031,7601390000316,VT,VT-D8,POS-VT-D8-MTRA,OCC-MTRA,Sina,Wyss,active,0.8,2021-06-13,DE-B2,FR-B1,HN,WID-9EC5405D
EMP-VT-0032,7601390000323,VT,VT-D8,POS-VT-D8-PHYS-RADIOL,OCC-PHYS-RADIOL,Tabea,Schmid,active,1.0,2016-08-05,DE-C1,,HN,WID-D1AD3E51
EMP-VT-0033,7601390000330,VT,VT-D8,POS-VT-D8-DQ,OCC-DQ,Aaron,Nussbaumer,active,0.9,2025-07-27,DE-C1,,HN,
